,Team,Goals
0,Albirex Niigata FC (S),0
1,Albirex Niigata FC (S),0
2,Albirex Niigata FC (S),1
3,Albirex Niigata FC (S),1
4,Albirex Niigata FC (S),1
5,Albirex Niigata FC (S),0
6,Albirex Niigata FC (S),1
7,Albirex Niigata FC (S),2
8,Albirex Niigata FC (S),5
9,Albirex Niigata FC (S),11
10,Albirex Niigata FC (S),0
11,Albirex Niigata FC (S),4
12,Albirex Niigata FC (S),0
13,Albirex Niigata FC (S),1
14,Albirex Niigata FC (S),0
15,Albirex Niigata FC (S),0
16,Albirex Niigata FC (S),0
17,Albirex Niigata FC (S),1
18,Albirex Niigata FC (S),0
19,Albirex Niigata FC (S),0
20,Albirex Niigata FC (S),0
21,Albirex Niigata FC (S),0
22,Albirex Niigata FC (S),0
23,Albirex Niigata FC (S),1
24,Albirex Niigata FC (S),3
25,Albirex Niigata FC (S),0
26,Balestier Khalsa FC,0
27,Balestier Khalsa FC,0
28,Balestier Khalsa FC,0
29,Balestier Khalsa FC,0
30,Balestier Khalsa FC,3
31,Balestier Khalsa FC,0
32,Balestier Khalsa FC,3
33,Balestier Khalsa FC,3
34,Balestier Khalsa FC,4
35,Balestier Khalsa FC,6
36,Balestier Khalsa FC,0
37,Balestier Khalsa FC,0
38,Balestier Khalsa FC,1
39,Balestier Khalsa FC,0
40,Balestier Khalsa FC,0
41,Balestier Khalsa FC,0
42,Balestier Khalsa FC,0
43,Balestier Khalsa FC,0
44,Balestier Khalsa FC,0
45,Balestier Khalsa FC,0
46,Balestier Khalsa FC,0
47,Balestier Khalsa FC,1
48,Balestier Khalsa FC,0
49,Balestier Khalsa FC,0
50,Balestier Khalsa FC,0
51,Balestier Khalsa FC,0
52,Balestier Khalsa FC,0
53,Balestier Khalsa FC,0
54,Balestier Khalsa FC,0
55,Balestier Khalsa FC,0
56,Balestier Khalsa FC,0
57,Balestier Khalsa FC,0
58,Balestier Khalsa FC,0
59,Balestier Khalsa FC,0
60,Geylang International FC,0
61,Geylang International FC,1
62,Geylang International FC,0
63,Geylang International FC,0
64,Geylang International FC,1
65,Geylang International FC,0
66,Geylang International FC,2
67,Geylang International FC,3
68,Geylang International FC,4
69,Geylang International FC,1
70,Geylang International FC,0
71,Geylang International FC,2
72,Geylang International FC,0
73,Geylang International FC,0
74,Geylang International FC,0
75,Geylang International FC,0
76,Geylang International FC,0
77,Geylang International FC,0
78,Geylang International FC,0
79,Geylang International FC,2
80,Geylang International FC,0
81,Geylang International FC,0
82,Geylang International FC,0
83,Geylang International FC,0
84,Hougang United FC,2
85,Hougang United FC,0
86,Hougang United FC,0
87,Hougang United FC,0
88,Hougang United FC,0
89,Hougang United FC,1
90,Hougang United FC,0
91,Hougang United FC,4
92,Hougang United FC,0
93,Hougang United FC,0
94,Hougang United FC,0
95,Hougang United FC,1
96,Hougang United FC,0
97,Hougang United FC,0
98,Hougang United FC,1
99,Hougang United FC,0
100,Hougang United FC,0
101,Hougang United FC,0
102,Hougang United FC,1
103,Hougang United FC,1
104,Hougang United FC,2
105,Hougang United FC,0
106,Hougang United FC,0
107,Hougang United FC,0
108,Hougang United FC,0
109,Lion City Sailors FC,2
110,Lion City Sailors FC,2
111,Lion City Sailors FC,0
112,Lion City Sailors FC,0
113,Lion City Sailors FC,2
114,Lion City Sailors FC,9
115,Lion City Sailors FC,1
116,Lion City Sailors FC,0
117,Lion City Sailors FC,0
118,Lion City Sailors FC,5
119,Lion City Sailors FC,0
120,Lion City Sailors FC,3
121,Lion City Sailors FC,0
122,Lion City Sailors FC,0
123,Lion City Sailors FC,2
124,Lion City Sailors FC,0
125,Lion City Sailors FC,0
126,Lion City Sailors FC,0
127,Lion City Sailors FC,4
128,Lion City Sailors FC,2
129,Lion City Sailors FC,9
130,Lion City Sailors FC,0
131,Lion City Sailors FC,0
132,Tampines Rovers FC,0
133,Tampines Rovers FC,0
134,Tampines Rovers FC,1
135,Tampines Rovers FC,0
136,Tampines Rovers FC,1
137,Tampines Rovers FC,1
138,Tampines Rovers FC,0
139,Tampines Rovers FC,0
140,Tampines Rovers FC,9
141,Tampines Rovers FC,7
142,Tampines Rovers FC,2
143,Tampines Rovers FC,1
144,Tampines Rovers FC,1
145,Tampines Rovers FC,0
146,Tampines Rovers FC,1
147,Tampines Rovers FC,0
148,Tampines Rovers FC,0
149,Tampines Rovers FC,0
150,Tampines Rovers FC,0
151,Tampines Rovers FC,1
152,Tampines Rovers FC,2
153,Tampines Rovers FC,0
154,Tampines Rovers FC,0
155,Tampines Rovers FC,0
156,Tampines Rovers FC,0
157,Tampines Rovers FC,0
158,Tampines Rovers FC,0
159,Tampines Rovers FC,0
160,Tanjong Pagar United FC,0
161,Tanjong Pagar United FC,0
162,Tanjong Pagar United FC,0
163,Tanjong Pagar United FC,0
164,Tanjong Pagar United FC,2
165,Tanjong Pagar United FC,0
166,Tanjong Pagar United FC,0
167,Tanjong Pagar United FC,0
168,Tanjong Pagar United FC,0
169,Tanjong Pagar United FC,7
170,Tanjong Pagar United FC,0
171,Tanjong Pagar United FC,0
172,Tanjong Pagar United FC,1
173,Tanjong Pagar United FC,0
174,Tanjong Pagar United FC,2
175,Tanjong Pagar United FC,0
176,Tanjong Pagar United FC,1
177,Tanjong Pagar United FC,0
178,Tanjong Pagar United FC,0
179,Tanjong Pagar United FC,1
180,Tanjong Pagar United FC,0
181,Tanjong Pagar United FC,0
182,Tanjong Pagar United FC,0
183,Tanjong Pagar United FC,0
184,Tanjong Pagar United FC,0
185,Tanjong Pagar United FC,0
186,Young Lions,0
187,Young Lions,0
188,Young Lions,0
189,Young Lions,0
190,Young Lions,3
191,Young Lions,1
192,Young Lions,0
193,Young Lions,0
194,Young Lions,1
195,Young Lions,0
196,Young Lions,0
197,Young Lions,0
198,Young Lions,0
199,Young Lions,0
200,Young Lions,2
201,Young Lions,2
202,Young Lions,0
203,Young Lions,3
204,Young Lions,0
205,Young Lions,0
206,Young Lions,0
207,Young Lions,0
208,Young Lions,0
209,Young Lions,0
210,Young Lions,0
211,Young Lions,0
212,Young Lions,0
213,Young Lions,0
214,Young Lions,0
215,Young Lions,0
216,Young Lions,0
